11 University Place	40.348178, -74.662915
114-116 Nassau Street	40.349871, -74.659006
116 Prospect Avenue	40.349980, -74.648566
169 Nassau Street	40.350800, -74.655697
171 Broadmead Street	40.345174, -74.642151
179 Nassau Street	40.350720, -74.655747
185 Nassau Street	40.351076, -74.654910
1879 Hall	40.347758, -74.655330
Laughlin Hall	40.346422, -74.660368
Laughlin	40.346422, -74.660368
1901 Hall	40.345880, -74.660077
1901	40.345880, -74.660077
1903 Hall	40.346105, -74.656953
1903	40.346105, -74.656953
1912 Pavilion	40.343050, -74.653830
1915 Hall	40.344750, -74.656927
1915	40.344750, -74.656927
1927 Hall	40.345200, -74.655784
1927	40.345200, -74.655784
Clapp Hall	40.345200, -74.655784
Clapp	40.345200, -74.655784
1937 Hall	40.345864, -74.656253
1938 Hall	40.344995, -74.655407
1939 Hall	40.345384, -74.656498
194 Nassau Street	40.351428, -74.655186
1952 Stadium	40.341461, -74.651205
1967 Hall	40.343957, -74.655797
1976 Hall	40.344588, -74.655507
1981 Hall	40.343611, -74.657210
199 Nassau Street	40.351036, -74.654127
2 Dickinson Street	40.345750, -74.661076
20 Washington Road	40.349375, -74.656227
200 Elm Drive	40.342805, -74.657004
201 Forrestal Road	40.345422, -74.616188
201 Nassau Street	40.351127, -74.654194	
22 Chambers Street	40.350017, -74.663248
221 Nassau Street	40.351365, -74.652892
228 Alexander Street	40.339220, -74.657539
23 University Place	40.347474, -74.662506
26 College Road West	40.343106, -74.663375
262 Alexander Street	40.338221, -74.656788
294 Alexander Street	40.337339, -74.656066
306 Alexander Street	40.337103, -74.655891
350 Alexander Street	40.335498, -74.654646
36 University Place	40.347130, -74.661562
39 University Place	40.346646, -74.662050
48 University Place	40.346597, -74.661497
5 Ivy Lane	40.346774, -74.652879
693 Alexander Road	40.324097, -74.639342
701 Carnegie Center	40.323785, -74.649149
71 University Place	40.345405, -74.660946
755 Alexander Road	40.321845, -74.634492
81 Alexander Street	40.343060, -74.661688
87 Prospect Avenue	40.348576, -74.648860
91 Prospect Avenue	40.348878, -74.651132
99 Alexander Street	40.343033, -74.661056
Alexander Hall	40.348331, -74.660618
Alexander Beach	40.347858, -74.660311
Richardson Auditorium	40.348331, -74.660618
Richardson	40.348331, -74.660618
Architecture Building	40.347985, -74.656177
Architecture Laboratory	40.343630, -74.649908
Art Museum	40.347089, -74.657635
Bainbridge House	40.350441, -74.657547
Baker Hall	40.343547, -74.657853
Baker Rink	40.342909, -74.657835
Bendheim Center	40.348745, -74.653484
Bendheim Hall	40.348712, -74.654204
Berlind Theatre	40.343790, -74.660421
Berlind	40.343790, -74.660421
Blair Hall	40.347359, -74.661665
Blair	40.347359, -74.661665
Bloomberg Hall	40.343553, -74.656017
Bloomberg	40.343553, -74.656017
Bobst Hall	40.348911, -74.649506
Bobst	40.348911, -74.649506
Bogle Hall	40.344316, -74.655556
Bogle	40.344316, -74.655556
Bowen Hall	40.349536, -74.650287
Bowen	40.349536, -74.650287
Brown Hall	40.346434, -74.657892
Brown	40.346434, -74.657892
Burr Hall	40.350196, -74.656528
Burr	40.350196, -74.656528
Butler Tract	40.349057, -74.636116
Buyers Hall	40.347438, -74.660830
Buyers	40.347438, -74.660830
Caldwell Field House	40.344323, -74.648338
Campbell Hall	40.348107, -74.661267
Campbell	40.348107, -74.661267
Campus Club	40.347654, -74.654492
Cannon Club	40.347850, -74.653350
Cannon Green	40.348175, -74.659101
Cannon	40.347850, -74.653350
Cap and Gown Club	40.348308, -74.651000
Cap and Gown	40.348308, -74.651000
Cap	40.348308, -74.651000
Chancellor Green	40.349050, -74.658600
Chapel	40.348823, -74.657028
Charter Club	40.348838, -74.650069
Charter	40.348838, -74.650069
Chilled Water Plant	40.341826, -74.656753
Clarke Field Press Box	40.346547, -74.648041
Clio Hall	40.347713, -74.659120
Clio	40.347713, -74.659120
Cloister Inn	40.348673, -74.650610
Cloister	40.348673, -74.650610
Cogeneration Plant	40.341463, -74.657223
Colonial Club	40.348726, -74.652812
Colonial	40.348726, -74.652812
Community Hall	40.344178, -74.657640
Computer Science Building	40.350252, -74.652251
Computer Science	40.350252, -74.652251
CS	40.350252, -74.652251
Cordish Family Pavilion	40.341451, -74.654483
Cordish Pavilion	40.341451, -74.654483
Corwin Hall	40.348884, -74.654369
Corwin	40.348884, -74.654369
Cottage Club	40.348302, -74.651726
Cottage	40.348302, -74.651726
Cuyler Hall	40.345912, -74.657424
Cuyler	40.345912, -74.657424
DeNunzio Pool	40.343898, -74.647436
DeNunzio	40.343898, -74.647436
Dickinson Hall	40.348763, -74.656074
Dickinson	40.348763, -74.656074
Dillon Gym	40.345540, -74.658782
Dillon	40.345540, -74.658782
Dod Hall	40.346763, -74.658653
Dod	40.346763, -74.658653
Dodge Hall 	40.347931, -74.657931
Murray-Dodge	40.347931, -74.657931
Murray Dodge	40.347931, -74.657931
Dodge-Osborn Hall	40.345484, -74.655742
Dodge-Osborn	40.345484, -74.655742
East Pyne Building	40.348769, -74.658471
East Pyne	40.348769, -74.658471
Edwards Hall	40.347154, -74.659276
Edwards	40.347154, -74.659276
Elementary Particles Lab Laboratory	40.344322, -74.645853
Engineering Quad	40.350751, -74.650512
E-Quad	40.350751, -74.650512
EQuad	40.350751, -74.650512
Eno Hall	40.345432, -74.655269
Eno	40.345432, -74.655269
Feinberg Hall	40.345803, -74.656523
Feinberg	40.345803, -74.656523
Carl Fields Center	40.349218, -74.651799
Carl Fields	40.349218, -74.651799
Fine Hall	40.345856, -74.652377
Fine	40.345856, -74.652377
Firestone Library	40.349591, -74.657372
Firestone	40.349591, -74.657372
Fisher Hall	40.348528, -74.654069
Fisher Hall Dorm	40.344683, -74.658229
Fisher	40.344683, -74.658229
